filename,gender,category,brand,product_name,price,discount_rate,review_count,heart_count,style,style_score,color,color_score,image_url
M_top_p01_3276485.jpg,남성,상의,꼼파뇨,[2PACK] 베스트 그래픽 반팔티,47740,54.0,4194,3587,streetwear,0.9177,white,0.6069,https://img.29cm.co.kr/item/202507/11f05ad00aa888c1afc0ff935bdbb022.jpg?width=1200&format=webp
M_top_p01_1911054.jpg,남성,상의,토마스모어,TF5-SH07 페이퍼셔츠 (12 Color),40120,33.0,20913,64433,preppy,0.4078,blue,0.2693,https://img.29cm.co.kr/item/202603/11f11c36f8cb7140a3c0099cd61f7dd5.jpg?width=1200&format=webp
M_top_p01_3354267.jpg,남성,상의,브론슨,Tompkins Loopwheeled Tubular Tee 4 Color,34430,23.0,554,3180,sportswear,0.6571,white,0.4278,https://img.29cm.co.kr/item/202604/11f1325f4b5612ae9ec55919758da351.jpg?width=1200&format=webp
M_top_p01_3873884.jpg,남성,상의,토마스모어,TG2-TS05 튜블러 티 (7 Color),19910,16.0,78,1888,streetwear,0.5099,gray,0.4067,https://img.29cm.co.kr/item/202603/11f128ee3c1d59e9945405b20ef8e0e0.png?width=1200&format=webp
M_top_p01_3263657.jpg,남성,상의,파르티멘토,Breeze Tee Charcoal,30520,32.0,467,6835,streetwear,0.6576,black,0.449,https://img.29cm.co.kr/item/202505/11f02c9b0f5532228930b7573cfbb511.jpg?width=1200&format=webp
M_top_p01_3910669.jpg,남성,상의,토마스모어,TG2-TS02 치코 스트라이프 티 - [스카이],28480,16.0,0,1174,sportswear,0.3316,white,0.369,https://img.29cm.co.kr/item/202604/11f134811ca050c889a05f9cbd47c7e3.jpg?width=1200&format=webp
M_top_p01_3910672.jpg,남성,상의,토마스모어,TG2-TS01 멀티 스트라이프 티 - [오렌지],32220,10.0,11,936,streetwear,0.4905,red,0.2311,https://img.29cm.co.kr/item/202604/11f136f0337173c489a0dfff3d29973f.jpg?width=1200&format=webp
M_top_p01_3910675.jpg,남성,상의,토마스모어,TG2-TS01 멀티 스트라이프 티 - [클레이브라운],29990,16.0,12,772,streetwear,0.3169,brown,0.4279,https://img.29cm.co.kr/item/202604/11f134a3b148d5549ec531d4622f4de4.jpg?width=1200&format=webp
M_top_p01_3334274.jpg,남성,상의,꼼파뇨,테디스 케이크 반팔티 크림,23870,54.0,86,4733,streetwear,0.4356,white,0.318,https://img.29cm.co.kr/item/202506/11f04a9cdc939b97afc0c58cd2f61bc7.jpg?width=1200&format=webp
M_top_p01_3370223.jpg,남성,상의,단델,DD symbol applique tee (GREY),37180,31.0,35,3426,sportswear,0.3615,white,0.5516,https://img.29cm.co.kr/item/202507/11f05bf286d0a883afc03dcef7ff6bc6.jpg?width=1200&format=webp
M_top_p01_1501688.jpg,남성,상의,쿠어,[2PACK] 수피마 코튼 티셔츠,44900,45.0,627,3356,sportswear,0.3594,white,0.559,https://img.29cm.co.kr/item/202603/11f11c3ad18b8ab8a540f9c1365ea0e2.jpg?width=1200&format=webp
M_top_p01_1535489.jpg,남성,상의,코드그라피,[베이직ver] CGP 아치 로고 티셔츠_7COLOR,29840,23.0,716,5861,streetwear,0.348,gray,0.3564,https://img.29cm.co.kr/item/202507/11f05d351547c4538909a7d7153291bc.jpg?width=1200&format=webp
M_top_p01_3188980.jpg,남성,상의,어반디타입,[한삐우 PICK] 데이오프 그래픽 티셔츠_3color,26520,32.0,49,1258,streetwear,0.521,red,0.3384,https://img.29cm.co.kr/item/202603/11f12bd74ef57cf99454d5a983ce3974.jpg?width=1200&format=webp
