filename,gender,category,brand,product_name,price,discount_rate,review_count,heart_count,category_label
남성_상의_p01_3354267.jpg,남성,상의,브론슨,Tompkins Loopwheeled Tubular Tee 4 Color,40500,10.0,548,2617,1
남성_상의_p01_1911054.jpg,남성,상의,토마스모어,TF5-SH07 페이퍼셔츠 (12 Color),47760,20.0,20808,63848,1
남성_상의_p01_3873884.jpg,남성,상의,토마스모어,TG2-TS05 튜블러 티 (7 Color),21390,10.0,30,919,1
남성_상의_p01_3840886.jpg,남성,상의,비바라비다,Shell 반팔 티셔츠,22430,44.0,11,3342,1
남성_상의_p01_993892.jpg,남성,상의,이스트로그 퍼머넌트,[스페셜오더] ONE POCKET T-SHIRT new ver. (12 COLORS),40800,15.0,2104,10327,1
남성_상의_p01_1501688.jpg,남성,상의,쿠어,[2PACK] 수피마 코튼 티셔츠,44900,45.0,601,3245,1
남성_상의_p01_3334274.jpg,남성,상의,꼼파뇨,테디스 케이크 반팔티 크림,23400,55.0,68,3909,1
남성_상의_p01_3873757.jpg,남성,상의,토마스모어,TG1-SH06 볼다 스트라이프 셔츠 (3 Color),51050,14.0,17,410,1
남성_상의_p01_3263657.jpg,남성,상의,파르티멘토,Breeze Tee Charcoal,32310,28.0,453,6093,1
남성_상의_p01_3508461.jpg,남성,상의,오끼뜨,[3차 4/29 예약 출고] (uni)아이러브홈 패치워크 스탠다드핏 티셔츠,29400,18.0,659,10188,1
남성_상의_p01_3873762.jpg,남성,상의,토마스모어,TG2-TS14 인디고 씬 스트라이프 티,35830,10.0,13,430,1
남성_상의_p01_3818268.jpg,남성,상의,헤인즈,시로 / 쿠로 크루넥 티셔츠 (2 COLOR),32900,0.0,33,550,1
남성_상의_p01_1941737.jpg,남성,상의,곤니치와봉쥬르,Cb NERD Checked Shirts(9color),35270,47.0,554,10214,1
남성_상의_p01_3821143.jpg,남성,상의,로우클래식,Lc 23 TEE_LIGHT MELANGE GREY [LC261TS11LG],59000,0.0,37,1499,1
