filename,brand,product_name,class_label,gender_code,category_code,class_code,color_code,style_code,price,discount_rate,review_count,heart_count,color_score,style_score
M_top_p01_3276485.jpg,꼼파뇨,베스트 그래픽 반팔티,남성_상의,0,0,1,10,6,47740,54.0,4194,3587,0.6069,0.9177
M_top_p01_1911054.jpg,토마스모어,페이퍼셔츠,남성_상의,0,0,1,2,4,40120,33.0,20913,64433,0.2693,0.4078
M_top_p01_3354267.jpg,브론슨,Tompkins Loopwheeled Tubular Tee 4 Color,남성_상의,0,0,1,10,5,34430,23.0,554,3180,0.4278,0.6571
M_top_p01_3873884.jpg,토마스모어,튜블러 티,남성_상의,0,0,1,4,6,19910,16.0,78,1888,0.4067,0.5099
M_top_p01_3263657.jpg,파르티멘토,Breeze Tee Charcoal,남성_상의,0,0,1,1,6,30520,32.0,467,6835,0.449,0.6576
M_top_p01_3910669.jpg,토마스모어,치코 스트라이프 티,남성_상의,0,0,1,10,5,28480,16.0,0,1174,0.369,0.3316
M_top_p01_3910672.jpg,토마스모어,멀티 스트라이프 티,남성_상의,0,0,1,9,6,32220,10.0,11,936,0.2311,0.4905
M_top_p01_3910675.jpg,토마스모어,멀티 스트라이프 티,남성_상의,0,0,1,3,6,29990,16.0,12,772,0.4279,0.3169
M_top_p01_3334274.jpg,꼼파뇨,테디스 케이크 반팔티 크림,남성_상의,0,0,1,10,6,23870,54.0,86,4733,0.318,0.4356
M_top_p01_3370223.jpg,단델,DD symbol applique tee,남성_상의,0,0,1,10,5,37180,31.0,35,3426,0.5516,0.3615
M_top_p01_1501688.jpg,쿠어,수피마 코튼 티셔츠,남성_상의,0,0,1,10,5,44900,45.0,627,3356,0.559,0.3594
M_top_p01_1535489.jpg,코드그라피,CGP 아치 로고 티셔츠,남성_상의,0,0,1,4,6,29840,23.0,716,5861,0.3564,0.348
M_top_p01_3188980.jpg,어반디타입,데이오프 그래픽 티셔츠,남성_상의,0,0,1,9,6,26520,32.0,49,1258,0.3384,0.521
M_top_p01_993892.jpg,이스트로그 퍼머넌트,ONE POCKET T-SHIRT new ver.,남성_상의,0,0,1,10,5,45600,5.0,2124,10503,0.3045,0.7409
M_top_p01_3907525.jpg,던스트,UNISEX VINYL T-SHIRT CHARCOAL GREY,남성_상의,0,0,1,3,6,38640,21.0,1,461,0.2611,0.7949
