filename,brand,product_name,class_label,gender_code,category_code,class_code,color_code,style_code,price,discount_rate,review_count,heart_count,color_score,style_score
M_top_p01_3873884.jpg,토마스모어,튜블러 티,남성_상의,0,0,1,4,6,19910,16.0,78,1888,0.4067,0.5099
M_top_p01_1501688.jpg,쿠어,수피마 코튼 티셔츠,남성_상의,0,0,1,10,5,44900,45.0,627,3356,0.559,0.3594
M_top_p01_993892.jpg,이스트로그 퍼머넌트,ONE POCKET T-SHIRT new ver.,남성_상의,0,0,1,10,5,45600,5.0,2124,10503,0.3045,0.7409
M_top_p01_3873762.jpg,토마스모어,인디고 씬 스트라이프 티,남성_상의,0,0,1,2,3,33350,16.0,26,772,0.4051,0.372
M_top_p01_2014534.jpg,러프사이드,Primary Half Sleeve,남성_상의,0,0,1,10,5,46500,5.0,399,4445,0.4288,0.6655
M_top_p01_1475250.jpg,곤니치와봉쥬르,Cb SUMMER T SET,남성_상의,0,0,1,5,5,37600,52.0,1470,19876,0.3318,0.6311
M_top_p01_3354294.jpg,브론슨,10.6 oz Cotton Short Sleeve Henley Tee Dark Grey,남성_상의,0,0,1,1,4,40550,23.0,181,503,0.4466,0.4255
M_top_p01_3821143.jpg,로우클래식,Lc 23 TEE,남성_상의,0,0,1,10,5,59000,0.0,39,1709,0.6004,0.4521
F_bottom_p01_3792611.jpg,가니송,Bridal Still Line One-piece,여성_하의,1,1,8,1,2,182070,24.0,22,4121,0.6145,0.2493
F_bottom_p01_2173677.jpg,신스덴,로맨티크 롱원피스,여성_하의,1,1,8,10,2,118500,25.0,64,8667,0.7995,0.5585
F_bottom_p01_3297174.jpg,트위,플브 슬리브리스 롱 원피스,여성_하의,1,1,8,10,3,26530,34.0,49,2717,0.9352,0.6143
F_bottom_p01_3731319.jpg,포 유어 아이즈 온리,Tia Shirring Maxi Dress (Gray Stripe),여성_하의,1,1,8,0,3,100130,19.0,30,2134,0.4175,0.3572
F_bottom_p01_3817019.jpg,뉴욕웍스,LACE ASYMMETRIC SLIP LAYERED DRESS,여성_하의,1,1,8,10,5,38250,30.0,19,4031,0.9493,0.2367
